HAVNE_ID;NAVN;ERHVERVSHAVN;LYSTBAADEHAVN;PLAN;PLAN2;PLAN3;PLAN_OPDATERET;PLAN2_OPDATERET;PLAN3_OPDATERET;FOTO1;FOTOTEKST1;OPR1;FOTOGRAFNAVN1;FOTO2;FOTOTEKST2;OPR2;FOTOGRAFNAVN2;FOTO3;FOTOTEKST3;OPR3;FOTOGRAFNAVN3;FOTO4;FOTOTEKST4;OPR4;FOTOGRAFNAVN4;FOTO5;FOTOTEKST5;OPR5;FOTOGRAFNAVN5;FOTO6;FOTOTEKST6;OPR6;FOTOGRAFNAVN6;FOTO7;FOTOTEKST7;OPR7;FOTOGRAFNAVN7;FOTO8;FOTOTEKST8;OPR8;FOTOGRAFNAVN8;BREDDE;LAENGDE;X;Y
803;Anholt Havn;-1;-1;NKTANHOL;;;feb 28, 2020 12:00:00 AM;;;NKTANHOL1;;maj 1997;Jørgen Schou Reklamefotografi, Odense;;;;;;;;;;;;;;;;;;;;;;;;;;;;;56°42,9'N;011°30,6'E;653590;6288440
804;Asaa Havn;0;-1;NK_ASAAX;;;maj 29, 2020 12:00:00 AM;;;NK_ASAAX1;;juni 2016;JW Luftfoto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;57°08,6'N;010°25,7'E;586406;6334301
805;Mellerup Færgeleje;0;0;;;;;;;NK_MERPF1;;august 2015;JW Luftfoto;NK_MERPF2;;august 2015;JW Luftfoto;;;;;;;;;;;;;;;;;;;;;;;;;56°31,2'N;010°13,5'E;575327;6264688
641;Marselisborg Lystbådehavn;0;-1;SK_MASBG;;;aug 10, 2018 12:00:00 AM;;;SK_MASBG1;;august 2009;Arne Magnussen, Helsingør;;;;;;;;;;;;;;;;;;;;;;;;;;;;;56°08,3'N;010°13,0'E;575542;6222072
643;Middelfart Gammel Havn;-1;-1;SKTMIDFA;;;jun 22, 2018 12:00:00 AM;;;SKTMIDFA1;Havnen set fra W;august 2004;Arne Magnussen, Helsingør;SKTMIDFA2;E-lige del af havnen samt NyHavn 1 og 2;august 2004;Arne Magnussen, Helsingør;SKTMIDFA3;NyHavn 1 og NyHavn 2;august 2018;Luftfoto Danmark ApS;;;;;;;;;;;;;;;;;;;;;55°30,5'N;009°43,7'E;545793;6151569
608;Holbæk Havn;-1;-1;SKTHOLBK;;;jan 25, 2019 12:00:00 AM;;;SKTHOLBK1;;juli 2008;Arne Magnussen, Helsingør;SKTHOLBK2;Gamle Havn;juli 2013;Arne Magnussen, Helsingør;;;;;;;;;;;;;;;;;;;;;;;;;55°43,3'N;011°43,4'E;670677;6178487
603;Nordhammer Havn;0;-1;SK_HAMRA;;;nov 30, 2018 12:00:00 AM;;;SK_HAMRA1;;august 2019;Luftfoto Danmark ApS;SK_HAMRA2;;august 2019;Luftfoto Danmark ApS;SK_HAMRA3;Nordhammer Havn (th) og Hammer Bakke Færgebro (tv);august 2019;Luftfoto Danmark ApS;;;;;;;;;;;;;;;;;;;;;55°45,4'N;011°51,0'E;678890;6182689
604;Hammer Bakke Færgebro;0;0;;;;;;;SK_HAMRB1;Færgebro og Nordhammer Havn i baggrunden.;august 2019;Luftfoto Danmark ApS;SK_HAMRB2;;august 2019;Luftfoto Danmark ApS;SK_HAMRB3;Hammer Bakke Færgebro (tv) og Orø Færgebro (th), set fra NE.;august 2019;Luftfoto Danmark ApS;;;;;;;;;;;;;;;;;;;;;55°45,4'N;011°50,8'E;678587;6182575
605;Havnsø Havn;-1;-1;SKTHVNSO;;;nov 02, 2018 12:00:00 AM;;;SKTHVNSO1;;juli 2011;Arne Magnussen, Helsingør;;;;;;;;;;;;;;;;;;;;;;;;;;;;;55°45,3'N;011°19,4'E;645945;6181220
606;Herslev Havn;0;-1;SK_HERSL;;;maj 12, 2017 12:00:00 AM;;;SK_HERSL1;;august 2019;Luftfoto Danmark ApS;SK_HERSL2;;august 2019;Luftfoto Danmark ApS;SK_HERSL3;;august 2019;Luftfoto Danmark ApS;;;;;;;;;;;;;;;;;;;;;55°40,7'N;011°59,3'E;687882;6174283
607;Hjarnø Havn;0;-1;SK_HJABR;;;dec 07, 2018 12:00:00 AM;;;SK_HJABR1;;juli 2010;Arne Magnussen, Helsingør;;;;;;;;;;;;;;;;;;;;;;;;;;;;;55°49,3'N;010°03,8'E;566641;6186836
600;Glatved Lasteanlæg;-1;0;;;;;;;SKTGLATV1;;september 2016;JW Luftfoto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;56°18,0'N;010°51,9'E;615506;6241041
